Tempo,Canal 0,Canal 1
1702557206.7538514,0.0792,0.2639
1702557206.755851,0.8485,1.0
1702557206.7578514,1.0,1.0
1702557206.7608397,1.0,1.0
1702557206.763857,1.0,1.0
1702557206.7678463,1.0,1.0
1702557206.7708442,1.0,0.9932
1702557206.7748427,0.5445,0.2454
1702557206.7788532,0.0,0.0
1702557206.7818666,0.0,0.0
1702557206.7858427,0.0,0.0
1702557206.788842,0.0,0.0
1702557206.7908406,0.0,0.0
1702557206.7918413,0.0,0.0
1702557206.7938414,0.0,0.0
1702557206.7958415,0.0,0.0
1702557206.7978413,0.0147,0.0538
1702557206.8008442,0.6295,1.0
1702557206.8028414,1.0,1.0
1702557206.8048415,1.0,1.0
1702557206.8068404,1.0,1.0
1702557206.808841,0.9941,1.0
1702557206.8108416,1.0,1.0
1702557206.8128417,0.8436,0.6022
1702557206.814843,0.1378,0.0
1702557206.8174965,0.0,0.0
1702557206.8196006,0.0,0.0
1702557206.8215995,0.0,0.0
1702557206.8226001,0.0,0.0
1702557206.8246005,0.0,0.0
1702557206.8266008,0.0,0.0
1702557206.8286004,0.0,0.0
1702557206.8377304,0.0,0.0
1702557206.8417418,0.2581,0.6158
1702557206.8437307,1.0,1.0
1702557206.8467395,1.0,1.0
1702557206.84874,1.0,1.0
1702557206.8521805,1.0,1.0
1702557206.8561943,1.0,1.0
1702557206.8581886,0.999,0.8798
1702557206.860177,0.3441,0.0283
1702557206.8631895,0.0,0.0
1702557206.8651893,0.0,0.0
1702557206.8681803,0.0,0.0
1702557206.8711889,0.0,0.0
1702557206.873189,0.0,0.0
1702557206.8751888,0.0,0.0
1702557206.877189,0.0,0.0
1702557206.8791888,0.0,0.0
1702557206.8821898,0.0743,0.2336
1702557206.8851786,0.8211,1.0
1702557206.8871784,1.0,1.0
1702557206.8891797,1.0,1.0
1702557206.8911786,1.0,1.0
1702557206.8931792,1.0,1.0
1702557206.8951795,1.0,1.0
1702557206.8971782,0.5904,0.2903
1702557206.8991807,0.0,0.0
1702557206.9021883,0.0,0.0
1702557206.9041884,0.0,0.0
1702557206.9061887,0.0,0.0
1702557206.9081886,0.0,0.0
1702557206.9101884,0.0,0.0
1702557206.91219,0.0,0.0
1702557206.914189,0.0,0.0
1702557206.9171822,0.0283,0.0528
1702557206.9194365,0.5914,0.9736
1702557206.922435,1.0,1.0
1702557206.9244347,1.0,1.0
1702557206.9274352,1.0,1.0
1702557206.9294302,1.0,1.0
1702557206.9354243,1.0,1.0
1702557206.9374359,0.8729,0.6403
1702557206.9394343,0.1535,0.0
1702557206.9414344,0.0,0.0
1702557206.9434342,0.0,0.0
1702557206.9454343,0.0,0.0
1702557206.950426,0.0,0.0
1702557206.955438,0.0,0.0
1702557206.961441,0.0,0.0
1702557206.964433,0.0,0.0
1702557206.969434,0.0098,0.0
1702557206.9744303,0.2444,0.567
1702557206.9784214,1.0,1.0
1702557206.9814227,1.0,1.0
1702557206.985445,1.0,1.0
1702557206.9884365,0.999,1.0
1702557206.9944336,1.0,1.0
1702557206.9964342,1.0,0.9062
1702557207.0004294,0.35,0.0508
1702557207.0044363,0.0,0.0
1702557207.0104349,0.0,0.0
1702557207.0124345,0.0,0.0
1702557207.015434,0.0039,0.0
1702557207.0194335,0.0,0.0
1702557207.0254426,0.0,0.0
1702557207.0274227,0.0,0.0
1702557207.0314221,0.0,0.0
1702557207.0344331,0.0684,0.2102
1702557207.040433,0.8006,1.0
1702557207.0434237,1.0,1.0
1702557207.0484257,1.0,1.0
1702557207.0574365,1.0,1.0
1702557207.0614214,1.0,1.0
1702557207.0634253,1.0,1.0
1702557207.0664265,0.6188,0.3245
1702557207.0724282,0.0,0.0
1702557207.0774238,0.0,0.0
1702557207.0804229,0.0,0.0
1702557207.0824225,0.0,0.0
1702557207.0874262,0.0,0.0
1702557207.0924416,0.0,0.0
1702557207.0954232,0.0,0.0
1702557207.0974233,0.0,0.0
1702557207.1024382,0.0137,0.042
1702557207.105428,0.5464,0.9492
1702557207.1114283,1.0,1.0
1702557207.113422,1.0,1.0
1702557207.11743,1.0,1.0
1702557207.1214323,1.0,1.0
1702557207.1272252,1.0,1.0
1702557207.129227,0.8778,0.6657
1702557207.1322255,0.1789,0.0
1702557207.1372144,0.0,0.0
1702557207.1442301,0.0,0.0
1702557207.1472301,0.0,0.0
1702557207.1501164,0.0,0.0
1702557207.1613925,0.0,0.0
1702557207.1653984,0.0,0.0
1702557207.1693954,0.0,0.0
1702557207.174393,0.0,0.0
1702557207.1793933,0.2082,0.5259
1702557207.1813884,1.0,1.0
1702557207.1843972,1.0,1.0
1702557207.1894023,1.0,1.0
1702557207.1943908,1.0,1.0
1702557207.1963935,1.0,1.0
1702557207.198392,1.0,0.9169
1702557207.2033944,0.3744,0.0743
1702557207.2083988,0.0,0.0
1702557207.2113938,0.0,0.0
1702557207.2133915,0.0,0.0
1702557207.2173977,0.0,0.0
1702557207.2213933,0.0,0.0
1702557207.2263908,0.0,0.0
1702557207.2283924,0.0,0.0
1702557207.2313948,0.0,0.0
1702557207.2344005,0.0528,0.1838
1702557207.2403984,0.7634,1.0
1702557207.2444024,1.0,1.0
1702557207.2463977,1.0,1.0
1702557207.2503953,1.0,1.0
1702557207.2543912,1.0,1.0
1702557207.2584155,1.0,1.0
1702557207.2643979,0.6637,0.3617
1702557207.2713907,0.0049,0.0
1702557207.2764003,0.0,0.0
1702557207.2793965,0.0,0.0
1702557207.2814014,0.0,0.0
1702557207.287393,0.0,0.0
1702557207.2914016,0.0,0.0
1702557207.2963984,0.0,0.0
1702557207.298401,0.0108,0.0
1702557207.3033943,0.0196,0.0323
1702557207.3063948,0.5044,0.9218
1702557207.3113918,1.0,1.0
1702557207.313392,1.0,1.0
1702557207.3163927,1.0,1.0
1702557207.3203962,1.0,1.0
1702557207.3254135,1.0,1.0
1702557207.3283894,0.9062,0.7009
1702557207.3313935,0.1926,0.0
1702557207.334399,0.0,0.0
1702557207.3403978,0.0,0.0
1702557207.345404,0.0,0.0
1702557207.3513975,0.0,0.0
1702557207.3564045,0.0,0.0
1702557207.3594253,0.0,0.0
1702557207.3633957,0.0088,0.0
1702557207.3664014,0.0127,0.0
1702557207.375426,0.1769,0.4751
1702557207.380391,0.9795,1.0
1702557207.3844,1.0,1.0
1702557207.388395,1.0,1.0
1702557207.3943977,1.0,1.0
1702557207.3974006,1.0,1.0
1702557207.4013925,1.0,0.9326
